model,family,tier,title,year,item,set,lambda,lambda_z,rank,matches
GPT-5.4 Nano,OpenAI,Small,The Social Network,2010,The Social Network (2010),A,0.0643,0.47014460441404526,50,213
GPT-5.4 Nano,OpenAI,Small,Shadows of Forgotten Ancestors,1965,Shadows of Forgotten Ancestors (1965),B,0.0608,0.4445533305246813,51,295
GPT-5.4 Nano,OpenAI,Small,Crimes and Misdemeanors,1989,Crimes and Misdemeanors (1989),B,0.0593,0.4335856417149539,52,319
GPT-5.4 Nano,OpenAI,Small,Europa '51,1952,Europa '51 (1952),B,0.0591,0.4321232832069903,53,330
GPT-5.4 Nano,OpenAI,Small,The Seventh Seal,1957,The Seventh Seal (1957),B,0.0566,0.41384380185744457,54,263
GPT-5.4 Nano,OpenAI,Small,Ran,1985,Ran (1985),B,0.0533,0.38971488647604424,55,305
GPT-5.4 Nano,OpenAI,Small,Logan,2017,Logan (2017),C,0.0501,0.3663171503486258,56,317
GPT-5.4 Nano,OpenAI,Small,The Matrix,1999,The Matrix (1999),A,0.0486,0.35534946153889835,57,321
GPT-5.4 Nano,OpenAI,Small,The Hour of the Furnaces,1968,The Hour of the Furnaces (1968),B,0.0485,0.35461828228491654,58,223
GPT-5.4 Nano,OpenAI,Small,The Sixth Sense,1999,The Sixth Sense (1999),C,0.0385,0.28150035688673375,59,343
GPT-5.4 Nano,OpenAI,Small,Rain Man,1988,Rain Man (1988),C,0.03,0.21935012029827838,60,241
GPT-5.4 Nano,OpenAI,Small,The Death of Mr. Lazarescu,2005,The Death of Mr. Lazarescu (2005),B,0.0278,0.20326417671067817,61,221
GPT-5.4 Nano,OpenAI,Small,Coco,2017,Coco (2017),C,0.0263,0.19229648790095077,62,238
GPT-5.4 Nano,OpenAI,Small,Inglourious Basterds,2009,Inglourious Basterds (2009),A,0.0242,0.1769417235673324,63,188
GPT-5.4 Nano,OpenAI,Small,Taste of Cherry,1997,Taste of Cherry (1997),B,0.0236,0.17255464804344142,64,283
GPT-5.4 Nano,OpenAI,Small,M,1931,M (1931),B,0.0202,0.1476945534080593,65,212
GPT-5.4 Nano,OpenAI,Small,Caché,2005,Caché (2005),B,0.0191,0.13965158161425917,66,231
GPT-5.4 Nano,OpenAI,Small,Jaws,1975,Jaws (1975),A,0.0181,0.1323397890744409,67,266
GPT-5.4 Nano,OpenAI,Small,Once Upon a Time in America,1984,Once Upon a Time in America (1984),B,0.0174,0.1272215342965681,68,162
GPT-5.4 Nano,OpenAI,Small,Dead Poets Society,1989,Dead Poets Society (1989),A,0.0167,0.12210327951869532,69,177
GPT-5.4 Nano,OpenAI,Small,"Goodbye, Dragon Inn",2003,"Goodbye, Dragon Inn (2003)",B,0.0162,0.11844738324878618,70,156
GPT-5.4 Nano,OpenAI,Small,Dances with Wolves,1990,Dances with Wolves (1990),C,0.0162,0.11844738324878618,71,167
GPT-5.4 Nano,OpenAI,Small,Kes,1969,Kes (1969),B,0.0156,0.11406030772489523,72,285
GPT-5.4 Nano,OpenAI,Small,Nostalghia,1983,Nostalghia (1983),B,0.0147,0.10747969443905878,73,211
GPT-5.4 Nano,OpenAI,Small,Die Hard with a Vengeance,1995,Die Hard with a Vengeance (1995),C,0.0132,0.09651200562933136,74,177
GPT-5.4 Nano,OpenAI,Small,All About My Mother,1999,All About My Mother (1999),B,0.0122,0.08920021308951309,75,223
GPT-5.4 Nano,OpenAI,Small,The Revenant,2015,The Revenant (2015),C,0.0122,0.08920021308951309,76,136
GPT-5.4 Nano,OpenAI,Small,Home Alone,1990,Home Alone (1990),C,0.0121,0.08846903383553126,77,156
GPT-5.4 Nano,OpenAI,Small,True Lies,1994,True Lies (1994),C,0.0102,0.07457662800987654,78,159
GPT-5.4 Nano,OpenAI,Small,Close Encounters of the Third Kind,1977,Close Encounters of the Third Kind (1977),A,0.0094,0.0687271939780219,79,157
GPT-5.4 Nano,OpenAI,Small,Ocean's Eleven,2001,Ocean's Eleven (2001),C,0.0089,0.06507129770811276,80,184
GPT-5.4 Nano,OpenAI,Small,The Thin Red Line,1998,The Thin Red Line (1998),B,0.0087,0.06360893920014911,81,184
GPT-5.4 Nano,OpenAI,Small,Pickpocket,1959,Pickpocket (1959),B,0.0085,0.06214658069218546,82,181
GPT-5.4 Nano,OpenAI,Small,Gravity,2013,Gravity (2013),C,0.0076,0.055565967406349004,83,173
GPT-5.4 Nano,OpenAI,Small,Batman,1989,Batman (1989),C,0.0071,0.05191007113643987,84,146
GPT-5.4 Nano,OpenAI,Small,The Fugitive,1993,The Fugitive (1993),C,0.0066,0.04825417486653073,85,179
GPT-5.4 Nano,OpenAI,Small,Death in Venice,1971,Death in Venice (1971),B,0.0052,0.03801766531078514,86,174
GPT-5.4 Nano,OpenAI,Small,Withnail & I,1987,Withnail & I (1987),B,0.0046,0.03363058978689418,87,167
GPT-5.4 Nano,OpenAI,Small,Once Upon a Time... in Hollywood,2019,Once Upon a Time... in Hollywood (2019),A,0.0036,0.026318797247075896,88,143
GPT-5.4 Nano,OpenAI,Small,Star Wars,1977,Star Wars (1977),A,0.0027,0.01973818396123945,89,159
GPT-5.4 Nano,OpenAI,Small,Solaris,1972,Solaris (1972),B,0.0027,0.01973818396123945,90,178
GPT-5.4 Nano,OpenAI,Small,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train (2020),C,0.0021,0.01535110843734848,91,174
GPT-5.4 Nano,OpenAI,Small,Day for Night,1973,Day for Night (1973),B,0.0017,0.01242639142142117,92,152
GPT-5.4 Nano,OpenAI,Small,La Belle et la Bête,1946,La Belle et la Bête (1946),B,0.0008,0.005845778135584721,93,150
GPT-5.4 Nano,OpenAI,Small,Apollo 13,1995,Apollo 13 (1995),C,0.0007,0.005114598881602893,94,136
GPT-5.4 Nano,OpenAI,Small,The Conformist,1970,The Conformist (1970),B,-0.0006,-0.004390731420160867,95,143
GPT-5.4 Nano,OpenAI,Small,Happy Together,1997,Happy Together (1997),B,-0.0015,-0.010971344705997317,96,142
GPT-5.4 Nano,OpenAI,Small,A Bug's Life,1998,A Bug's Life (1998),C,-0.0016,-0.011702523959979144,97,141
GPT-5.4 Nano,OpenAI,Small,Twister,1996,Twister (1996),C,-0.0028,-0.020476675007761076,98,138
GPT-5.4 Nano,OpenAI,Small,Forrest Gump,1994,Forrest Gump (1994),A,-0.005,-0.036562618595361286,99,153
GPT-5.4 Nano,OpenAI,Small,Incredibles 2,2018,Incredibles 2 (2018),C,-0.0062,-0.04533676964314322,100,144
GPT-5.4 Nano,OpenAI,Small,Videodrome,1983,Videodrome (1983),B,-0.0065,-0.0475303074050887,101,158
GPT-5.4 Nano,OpenAI,Small,Days of Being Wild,1990,Days of Being Wild (1990),B,-0.0075,-0.05484209994490698,102,149
GPT-5.4 Nano,OpenAI,Small,Joker,2019,Joker (2019),C,-0.0076,-0.055573279198888804,103,153
GPT-5.4 Nano,OpenAI,Small,The Wandering Earth,2019,The Wandering Earth (2019),C,-0.0079,-0.05776681696083429,104,148
GPT-5.4 Nano,OpenAI,Small,Scenes from a Marriage,1973,Scenes from a Marriage (1973),B,-0.0084,-0.06142271323074343,105,140
GPT-5.4 Nano,OpenAI,Small,Senso,1954,Senso (1954),B,-0.0107,-0.07823983607232546,106,142
GPT-5.4 Nano,OpenAI,Small,Top Gun,1986,Top Gun (1986),C,-0.0114,-0.08335809085019827,107,138
GPT-5.4 Nano,OpenAI,Small,Titanic,1997,Titanic (1997),A,-0.0153,-0.11187408175548953,108,147
GPT-5.4 Nano,OpenAI,Small,Stromboli,1950,Stromboli (1950),B,-0.0155,-0.1133364402634532,109,139
GPT-5.4 Nano,OpenAI,Small,Beauty and the Beast,1991,Beauty and the Beast (1991),C,-0.0156,-0.11406761951743502,110,138
GPT-5.4 Nano,OpenAI,Small,Vivre sa vie,1962,Vivre sa vie (1962),B,-0.0175,-0.12796002534308978,111,134
GPT-5.4 Nano,OpenAI,Small,Beetlejuice Beetlejuice,2024,Beetlejuice Beetlejuice (2024),C,-0.0225,-0.16451898804218115,112,149
GPT-5.4 Nano,OpenAI,Small,Out 1,1971,Out 1 (1971),B,-0.0244,-0.1784113938678359,113,137
GPT-5.4 Nano,OpenAI,Small,Live Free or Die Hard,2007,Live Free or Die Hard (2007),C,-0.0249,-0.182067290137745,114,136
GPT-5.4 Nano,OpenAI,Small,"Aguirre, the Wrath of God",1972,"Aguirre, the Wrath of God (1972)",B,-0.0263,-0.1923037996934906,115,134
GPT-5.4 Nano,OpenAI,Small,The Passion of Joan of Arc,1928,The Passion of Joan of Arc (1928),B,-0.0271,-0.1981532337253452,116,143
GPT-5.4 Nano,OpenAI,Small,Star Trek,2009,Star Trek (2009),C,-0.0283,-0.20692738477312714,117,146
GPT-5.4 Nano,OpenAI,Small,The Spirit of the Beehive,1973,The Spirit of the Beehive (1973),B,-0.0291,-0.21277681880498178,118,135
GPT-5.4 Nano,OpenAI,Small,Cléo from 5 to 7,1962,Cléo from 5 to 7 (1962),B,-0.03,-0.21935743209081823,119,136
GPT-5.4 Nano,OpenAI,Small,The Exorcist,1973,The Exorcist (1973),A,-0.0308,-0.22520686612267285,120,144
GPT-5.4 Nano,OpenAI,Small,Ocean's Twelve,2004,Ocean's Twelve (2004),C,-0.0415,-0.3034430462987284,121,136
GPT-5.4 Nano,OpenAI,Small,National Treasure,2004,National Treasure (2004),C,-0.0418,-0.3056365840606739,122,139
GPT-5.4 Nano,OpenAI,Small,Breathless,1960,Breathless (1960),B,-0.042,-0.30709894256863757,123,155
GPT-5.4 Nano,OpenAI,Small,My Big Fat Greek Wedding,2002,My Big Fat Greek Wedding (2002),C,-0.0422,-0.30856130107660124,124,147
GPT-5.4 Nano,OpenAI,Small,The Eight Hundred,2020,The Eight Hundred (2020),C,-0.0431,-0.31514191436243766,125,144
GPT-5.4 Nano,OpenAI,Small,Speed,1994,Speed (1994),C,-0.0437,-0.31952898988632866,126,147
GPT-5.4 Nano,OpenAI,Small,Zama,2017,Zama (2017),B,-0.0488,-0.3568191318394019,127,150
GPT-5.4 Nano,OpenAI,Small,Los Olvidados,1950,Los Olvidados (1950),B,-0.0518,-0.3787545094588567,128,143
GPT-5.4 Nano,OpenAI,Small,xXx: Return of Xander Cage,2017,xXx: Return of Xander Cage (2017),C,-0.0532,-0.38899101901460226,129,142
GPT-5.4 Nano,OpenAI,Small,The Croods,2013,The Croods (2013),C,-0.0554,-0.40507696260220244,130,143
GPT-5.4 Nano,OpenAI,Small,Full River Red,2023,Full River Red (2023),C,-0.059,-0.43139941574554824,131,147
GPT-5.4 Nano,OpenAI,Small,Alien: Romulus,2024,Alien: Romulus (2024),C,-0.069,-0.504517341143731,132,147
GPT-5.4 Nano,OpenAI,Small,The Bodyguard,1992,The Bodyguard (1992),C,-0.0693,-0.5067108789056766,133,141
GPT-5.4 Nano,OpenAI,Small,La Région centrale,1971,La Région centrale (1971),B,-0.0744,-0.5440010208587497,134,147
GPT-5.4 Nano,OpenAI,Small,Ghostbusters,1984,Ghostbusters (1984),A,-0.0828,-0.6054200781932233,135,145
GPT-5.4 Nano,OpenAI,Small,"Ivan the Terrible, Part II",1946,"Ivan the Terrible, Part II (1946)",B,-0.0867,-0.6339360690985145,136,157
GPT-5.4 Nano,OpenAI,Small,Independence Day,1996,Independence Day (1996),C,-0.0879,-0.6427102201462965,137,165
GPT-5.4 Nano,OpenAI,Small,The Green Ray,1986,The Green Ray (1986),B,-0.09,-0.6580649844799148,138,166
GPT-5.4 Nano,OpenAI,Small,The Gleaners & I,2000,The Gleaners & I (2000),B,-0.0935,-0.6836562583692788,139,159
GPT-5.4 Nano,OpenAI,Small,Gone with the Wind,1939,Gone with the Wind (1939),A,-0.0941,-0.6880433338931699,140,149
GPT-5.4 Nano,OpenAI,Small,The Matrix Reloaded,2003,The Matrix Reloaded (2003),C,-0.0952,-0.6960863056869699,141,153
GPT-5.4 Nano,OpenAI,Small,Planet of the Apes,2001,Planet of the Apes (2001),C,-0.1012,-0.7399570609258795,142,163
GPT-5.4 Nano,OpenAI,Small,Terra em Transe,1967,Terra em Transe (1967),B,-0.1035,-0.7567741837674615,143,159
GPT-5.4 Nano,OpenAI,Small,Avatar,2009,Avatar (2009),A,-0.104,-0.7604300800373707,144,164
GPT-5.4 Nano,OpenAI,Small,The Wolverine,2013,The Wolverine (2013),C,-0.1112,-0.8130749863240623,145,163
GPT-5.4 Nano,OpenAI,Small,Meet the Fockers,2004,Meet the Fockers (2004),C,-0.1148,-0.8393974394674082,146,161
GPT-5.4 Nano,OpenAI,Small,The Passion of the Christ,2004,The Passion of the Christ (2004),C,-0.1154,-0.8437845149912991,147,161
GPT-5.4 Nano,OpenAI,Small,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,The Chronicles of Narnia: The Voyage of the Dawn Treader (2010),C,-0.1205,-0.8810746569443723,148,164
GPT-5.4 Nano,OpenAI,Small,The Young Girls of Rochefort,1967,The Young Girls of Rochefort (1967),B,-0.1206,-0.8818058361983542,149,179
GPT-5.4 Nano,OpenAI,Small,The Ascent,1977,The Ascent (1977),B,-0.1241,-0.9073971100877182,150,186
GPT-5.4 Nano,OpenAI,Small,A.I. Artificial Intelligence,2001,A.I. Artificial Intelligence (2001),A,-0.126,-0.9212895159133727,151,176
GPT-5.4 Nano,OpenAI,Small,Penguins of Madagascar,2014,Penguins of Madagascar (2014),C,-0.1281,-0.9366442802469911,152,176
GPT-5.4 Nano,OpenAI,Small,Underground,1995,Underground (1995),B,-0.1321,-0.9658914504062642,153,167
GPT-5.4 Nano,OpenAI,Small,The Mummy,1999,The Mummy (1999),C,-0.1355,-0.9907515450416464,154,174
GPT-5.4 Nano,OpenAI,Small,JFK,1991,JFK (1991),A,-0.1356,-0.9914827242956282,155,178
GPT-5.4 Nano,OpenAI,Small,The Wind,1928,The Wind (1928),B,-0.1484,-1.0850736688053022,156,155
GPT-5.4 Nano,OpenAI,Small,Bambi,1942,Bambi (1942),A,-0.1486,-1.0865360273132658,157,172
GPT-5.4 Nano,OpenAI,Small,The Crowd,1928,The Crowd (1928),B,-0.1494,-1.0923854613451205,158,178
GPT-5.4 Nano,OpenAI,Small,The Colour of Pomegranates,1969,The Colour of Pomegranates (1969),B,-0.1506,-1.1011596123929024,159,186
GPT-5.4 Nano,OpenAI,Small,Peter Rabbit,2018,Peter Rabbit (2018),C,-0.151,-1.1040843294088296,160,151
GPT-5.4 Nano,OpenAI,Small,The Simpsons Movie,2007,The Simpsons Movie (2007),C,-0.1512,-1.1055466879167934,161,164
GPT-5.4 Nano,OpenAI,Small,Intolerance,1916,Intolerance (1916),B,-0.1513,-1.1062778671707751,162,175
GPT-5.4 Nano,OpenAI,Small,Brave,2012,Brave (2012),C,-0.1513,-1.1062778671707751,163,175
GPT-5.4 Nano,OpenAI,Small,Armageddon,1998,Armageddon (1998),C,-0.152,-1.111396121948648,164,171
GPT-5.4 Nano,OpenAI,Small,The Angry Birds Movie,2016,The Angry Birds Movie (2016),C,-0.1522,-1.1128584804566117,165,152
GPT-5.4 Nano,OpenAI,Small,Uncharted,2022,Uncharted (2022),C,-0.1525,-1.115052018218557,166,149
GPT-5.4 Nano,OpenAI,Small,"Black God, White Devil",1964,"Black God, White Devil (1964)",B,-0.1528,-1.1172455559805026,167,166
GPT-5.4 Nano,OpenAI,Small,If….,1968,If…. (1968),B,-0.1529,-1.1179767352344845,168,193
GPT-5.4 Nano,OpenAI,Small,Limite,1931,Limite (1931),B,-0.153,-1.1187079144884662,169,156
GPT-5.4 Nano,OpenAI,Small,Sing,2016,Sing (2016),C,-0.1531,-1.119439093742448,170,181
GPT-5.4 Nano,OpenAI,Small,Die Another Day,2002,Die Another Day (2002),C,-0.1532,-1.12017027299643,171,162
GPT-5.4 Nano,OpenAI,Small,Where is the Friend's House?,1987,Where is the Friend's House? (1987),B,-0.1539,-1.1252885277743028,172,171
GPT-5.4 Nano,OpenAI,Small,Snow White and the Huntsman,2012,Snow White and the Huntsman (2012),C,-0.1545,-1.1296756032981936,173,158
GPT-5.4 Nano,OpenAI,Small,The Secret Life of Pets,2016,The Secret Life of Pets (2016),C,-0.155,-1.1333314995681028,174,168
GPT-5.4 Nano,OpenAI,Small,The Meg,2018,The Meg (2018),C,-0.155,-1.1333314995681028,175,160
GPT-5.4 Nano,OpenAI,Small,The Gold Rush,1925,The Gold Rush (1925),B,-0.1553,-1.1355250373300483,176,178
GPT-5.4 Nano,OpenAI,Small,Monster Hunt,2015,Monster Hunt (2015),C,-0.1554,-1.1362562165840302,177,169
GPT-5.4 Nano,OpenAI,Small,X-Men Origins: Wolverine,2009,X-Men Origins: Wolverine (2009),C,-0.1557,-1.1384497543459757,178,152
GPT-5.4 Nano,OpenAI,Small,Mary Poppins Returns,2018,Mary Poppins Returns (2018),C,-0.1562,-1.1421056506158849,179,163
GPT-5.4 Nano,OpenAI,Small,Lucy,2014,Lucy (2014),C,-0.1564,-1.1435680091238485,180,140
GPT-5.4 Nano,OpenAI,Small,The Hangover Part II,2011,The Hangover Part II (2011),C,-0.1569,-1.1472239053937576,181,163
GPT-5.4 Nano,OpenAI,Small,The Grinch,2018,The Grinch (2018),C,-0.157,-1.1479550846477393,182,158
GPT-5.4 Nano,OpenAI,Small,Ant-Man and the Wasp: Quantumania,2023,Ant-Man and the Wasp: Quantumania (2023),C,-0.1574,-1.1508798016636668,183,166
GPT-5.4 Nano,OpenAI,Small,Twenty Years Later,1984,Twenty Years Later (1984),B,-0.1579,-1.154535697933576,184,151
GPT-5.4 Nano,OpenAI,Small,Noah,2014,Noah (2014),C,-0.1582,-1.1567292356955212,185,144
GPT-5.4 Nano,OpenAI,Small,The Golden Compass,2007,The Golden Compass (2007),C,-0.1587,-1.1603851319654304,186,158
GPT-5.4 Nano,OpenAI,Small,Tarzan,1999,Tarzan (1999),C,-0.1608,-1.1757398962990488,187,151
GPT-5.4 Nano,OpenAI,Small,Superman Returns,2006,Superman Returns (2006),C,-0.1625,-1.1881699436167399,188,146
GPT-5.4 Nano,OpenAI,Small,The Time to Live and the Time to Die,1985,The Time to Live and the Time to Die (1985),B,-0.1626,-1.1889011228707216,189,145
GPT-5.4 Nano,OpenAI,Small,The Amazing Spider-Man 2,2014,The Amazing Spider-Man 2 (2014),C,-0.1631,-1.1925570191406307,190,152
GPT-5.4 Nano,OpenAI,Small,In a Year with 13 Moons,1978,In a Year with 13 Moons (1978),B,-0.1649,-1.2057182457123037,191,147
GPT-5.4 Nano,OpenAI,Small,"My People, My Homeland",2020,"My People, My Homeland (2020)",C,-0.1737,-1.2700620200627046,192,133
GPT-5.4 Nano,OpenAI,Small,2012,2009,2012 (2009),C,-0.1742,-1.2737179163326138,193,142
GPT-5.4 Nano,OpenAI,Small,The Puppetmaster,1993,The Puppetmaster (1993),B,-0.1838,-1.3439111247148692,194,146
GPT-5.4 Nano,OpenAI,Small,"Hi, Mom",2021,"Hi, Mom (2021)",C,-0.1868,-1.365846502334324,195,144
GPT-5.4 Nano,OpenAI,Small,Hello Mr. Billionaire,2018,Hello Mr. Billionaire (2018),C,-0.1935,-1.4148355123511065,196,132
GPT-5.4 Nano,OpenAI,Small,Cars 2,2011,Cars 2 (2011),C,-0.2057,-1.5040393813368893,197,138
GPT-5.4 Nano,OpenAI,Small,Thunderbolts*,2025,Thunderbolts* (2025),C,-0.216,-1.5793508444970177,198,140
GPT-5.4 Nano,OpenAI,Small,The Fantastic Four: First Steps,2025,The Fantastic Four: First Steps (2025),C,-0.2172,-1.5881249955447996,199,136
GPT-5.4 Nano,OpenAI,Small,Pegasus 2,2024,Pegasus 2 (2024),C,-0.2357,-1.7233931575314376,200,128
Mistral Large 3,Mistral,Large,Spirited Away,2001,Spirited Away (2001),A,0.2313,1.9486020009647016,1,134
Mistral Large 3,Mistral,Large,Pather Panchali,1955,Pather Panchali (1955),B,0.2287,1.9266981306555435,2,179
Mistral Large 3,Mistral,Large,Cinema Paradiso,1988,Cinema Paradiso (1988),B,0.2254,1.89889706449392,3,181
Mistral Large 3,Mistral,Large,Mad Max: Fury Road,2015,Mad Max: Fury Road (2015),A,0.2242,1.8887875858896934,4,225
Mistral Large 3,Mistral,Large,The Godfather,1972,The Godfather (1972),A,0.2234,1.8820479334868756,5,293
Mistral Large 3,Mistral,Large,The Colour of Pomegranates,1969,The Colour of Pomegranates (1969),B,0.223,1.8786781072854668,6,250
Mistral Large 3,Mistral,Large,Beau Travail,1999,Beau Travail (1999),B,0.2213,1.8643563459294787,7,167
Mistral Large 3,Mistral,Large,Where is the Friend's House?,1987,Where is the Friend's House? (1987),B,0.2207,1.8593016066273655,8,229
Mistral Large 3,Mistral,Large,Withnail & I,1987,Withnail & I (1987),B,0.2207,1.8593016066273655,9,189
Mistral Large 3,Mistral,Large,Vivre sa vie,1962,Vivre sa vie (1962),B,0.2188,1.843294932170673,10,271
Mistral Large 3,Mistral,Large,The Gleaners & I,2000,The Gleaners & I (2000),B,0.2183,1.8390826494189119,11,237
Mistral Large 3,Mistral,Large,The Passion of Joan of Arc,1928,The Passion of Joan of Arc (1928),B,0.2178,1.8348703666671509,12,272
Mistral Large 3,Mistral,Large,Raiders of the Lost Ark,1981,Raiders of the Lost Ark (1981),A,0.2174,1.831500540465742,13,224
Mistral Large 3,Mistral,Large,Schindler's List,1993,Schindler's List (1993),A,0.2118,1.784322973646017,14,273
Mistral Large 3,Mistral,Large,Yojimbo,1961,Yojimbo (1961),B,0.2079,1.7514671681822804,15,294
Mistral Large 3,Mistral,Large,Persona,1966,Persona (1966),B,0.2065,1.7396727764773492,16,276
Mistral Large 3,Mistral,Large,Crimes and Misdemeanors,1989,Crimes and Misdemeanors (1989),B,0.2063,1.7379878633766448,17,293
Mistral Large 3,Mistral,Large,The Empire Strikes Back,1980,The Empire Strikes Back (1980),A,0.2044,1.7219811889199523,18,270
Mistral Large 3,Mistral,Large,Portrait of a Lady on Fire,2019,Portrait of a Lady on Fire (2019),B,0.2023,1.7042896013625557,19,297
Mistral Large 3,Mistral,Large,Nostalghia,1983,Nostalghia (1983),B,0.194,1.634365707683321,20,337
Mistral Large 3,Mistral,Large,Once Upon a Time in the West,1968,Once Upon a Time in the West (1968),B,0.1939,1.6335232511329685,21,310
Mistral Large 3,Mistral,Large,Woman in the Dunes,1964,Woman in the Dunes (1964),B,0.1915,1.6133042939245152,22,354
Mistral Large 3,Mistral,Large,Pulp Fiction,1994,Pulp Fiction (1994),A,0.189,1.5922428801657094,23,343
Mistral Large 3,Mistral,Large,Sans Soleil,1983,Sans Soleil (1983),B,0.1858,1.565284270554438,24,278
Mistral Large 3,Mistral,Large,High and Low,1963,High and Low (1963),B,0.1783,1.502100029278021,25,280
Mistral Large 3,Mistral,Large,All About My Mother,1999,All About My Mother (1999),B,0.1709,1.4397582445519563,26,374
Mistral Large 3,Mistral,Large,Se7en,1995,Se7en (1995),A,0.1695,1.4279638528470253,27,382
Mistral Large 3,Mistral,Large,Cléo from 5 to 7,1962,Cléo from 5 to 7 (1962),B,0.1676,1.4119571783903329,28,334
Mistral Large 3,Mistral,Large,The Spirit of the Beehive,1973,The Spirit of the Beehive (1973),B,0.163,1.3732041770741303,29,314
Mistral Large 3,Mistral,Large,Once Upon a Time in America,1984,Once Upon a Time in America (1984),B,0.1549,1.3049651964956,30,318
Mistral Large 3,Mistral,Large,Pyaasa,1957,Pyaasa (1957),B,0.152,1.2805339565353853,31,344
Mistral Large 3,Mistral,Large,The Silence of the Lambs,1991,The Silence of the Lambs (1991),A,0.1355,1.1415286257272679,32,326
Mistral Large 3,Mistral,Large,Sansho the Bailiff,1954,Sansho the Bailiff (1954),B,0.1342,1.130576690572689,33,326
Mistral Large 3,Mistral,Large,Blade Runner,1982,Blade Runner (1982),B,0.1285,1.082556667202612,34,271
Mistral Large 3,Mistral,Large,Parasite,2019,Parasite (2019),A,0.1186,0.9991534687177415,35,372
Mistral Large 3,Mistral,Large,Taste of Cherry,1997,Taste of Cherry (1997),B,0.1181,0.9949411859659804,36,304
Mistral Large 3,Mistral,Large,Koyaanisqatsi,1982,Koyaanisqatsi (1982),B,0.1176,0.9907289032142191,37,312
Mistral Large 3,Mistral,Large,Happy Together,1997,Happy Together (1997),B,0.1137,0.9578730977504823,38,263
Mistral Large 3,Mistral,Large,Shadows of Forgotten Ancestors,1965,Shadows of Forgotten Ancestors (1965),B,0.1059,0.8921614868230086,39,308
Mistral Large 3,Mistral,Large,Ran,1985,Ran (1985),B,0.1043,0.878682182017373,40,349
Mistral Large 3,Mistral,Large,Amadeus,1984,Amadeus (1984),B,0.1029,0.8668877903124419,41,287
Mistral Large 3,Mistral,Large,A Brighter Summer Day,1991,A Brighter Summer Day (1991),B,0.0969,0.8163403972913081,42,316
Mistral Large 3,Mistral,Large,Ratatouille,2007,Ratatouille (2007),C,0.0966,0.8138130276402515,43,331
Mistral Large 3,Mistral,Large,Los Olvidados,1950,Los Olvidados (1950),B,0.096,0.8087582883381381,44,303
Mistral Large 3,Mistral,Large,Oldboy,2003,Oldboy (2003),B,0.0879,0.7405193077596077,45,328
Mistral Large 3,Mistral,Large,The Death of Mr. Lazarescu,2005,The Death of Mr. Lazarescu (2005),B,0.0838,0.7059785891951664,46,284
Mistral Large 3,Mistral,Large,The Green Ray,1986,The Green Ray (1986),B,0.0836,0.7042936760944619,47,283
Mistral Large 3,Mistral,Large,The Conformist,1970,The Conformist (1970),B,0.0833,0.7017663064434053,48,266
Mistral Large 3,Mistral,Large,Raise the Red Lantern,1991,Raise the Red Lantern (1991),B,0.0793,0.6680680444293161,49,299
Mistral Large 3,Mistral,Large,Jurassic Park,1993,Jurassic Park (1993),A,0.0779,0.656273652724385,50,244
Mistral Large 3,Mistral,Large,The Young Girls of Rochefort,1967,The Young Girls of Rochefort (1967),B,0.0759,0.6394245217173404,51,258
Mistral Large 3,Mistral,Large,Back to the Future,1985,Back to the Future (1985),A,0.0755,0.6360546955159315,52,274
Mistral Large 3,Mistral,Large,Dead Poets Society,1989,Dead Poets Society (1989),A,0.0718,0.6048838031528991,53,281
Mistral Large 3,Mistral,Large,WALL-E,2008,WALL-E (2008),A,0.0706,0.5947743245486724,54,255
Mistral Large 3,Mistral,Large,Videodrome,1983,Videodrome (1983),B,0.0684,0.5762402804409235,55,281
Mistral Large 3,Mistral,Large,Days of Being Wild,1990,Days of Being Wild (1990),B,0.0668,0.5627609756352878,56,267
Mistral Large 3,Mistral,Large,M,1931,M (1931),B,0.062,0.5223230612183809,57,272
Mistral Large 3,Mistral,Large,Inside Out,2015,Inside Out (2015),C,0.0587,0.49452199505675737,58,265
Mistral Large 3,Mistral,Large,Solaris,1972,Solaris (1972),B,0.056,0.47177566819724726,59,318
Mistral Large 3,Mistral,Large,"Goodbye, Dragon Inn",2003,"Goodbye, Dragon Inn (2003)",B,0.0541,0.45576899374055496,60,210
Mistral Large 3,Mistral,Large,The Lord of the Rings: The Fellowship of the Ring,2001,The Lord of the Rings: The Fellowship of the Ring (2001),A,0.0501,0.4220707317264658,61,265
Mistral Large 3,Mistral,Large,Pickpocket,1959,Pickpocket (1959),B,0.0493,0.415331079323648,62,195
Mistral Large 3,Mistral,Large,"Aguirre, the Wrath of God",1972,"Aguirre, the Wrath of God (1972)",B,0.0481,0.40522160071942126,63,221
Mistral Large 3,Mistral,Large,Inglourious Basterds,2009,Inglourious Basterds (2009),A,0.0426,0.3588864904500488,64,203
Mistral Large 3,Mistral,Large,The Time to Live and the Time to Die,1985,The Time to Live and the Time to Die (1985),B,0.0337,0.28390785746870056,65,176
Mistral Large 3,Mistral,Large,Your Name.,2016,Your Name. (2016),C,0.032,0.2695860961127127,66,283
